id,release_date,movie,production_budget,domestic_gross,worldwide_gross,worldwide_roi,roi_category,movie_year,tconst,primary_title,original_title,start_year,runtime_minutes,genres
82,"Feb 1, 2019",Velvet Buzzsaw,21000000,0,0,0.0,low,Velvet Buzzsaw (2019),tt7043012,Velvet Buzzsaw,Velvet Buzzsaw,2019.0,113.0,"Horror,Mystery,Thriller"
2,"Dec 31, 2012",After,650000,0,0,0.0,low,After (2012),tt1799508,After,After,2012.0,90.0,"Drama,Fantasy,Mystery"
2,"Dec 31, 2012",After,650000,0,0,0.0,low,After (2012),tt2404163,After,After,2012.0,83.0,Romance
54,"Feb 19, 2016",Forsaken,18000000,0,0,0.0,low,Forsaken (2016),tt5127300,Forsaken,Forsaken,2016.0,89.0,Horror
17,"Dec 13, 2018",Bird Box,19800000,0,0,0.0,low,Bird Box (2018),tt2737304,Bird Box,Bird Box,2018.0,124.0,"Drama,Horror,Sci-Fi"
3,"Dec 31, 2014",The Hadza: Last of the First,650000,0,0,0.0,low,The Hadza: Last of the First (2014),tt2139721,The Hadza: Last of the First,The Hadza: Last of the First,2014.0,71.0,Documentary
20,"Feb 24, 2015",Irreplaceable,600000,0,0,0.0,low,Irreplaceable (2015),tt5274738,Irreplaceable,Irreplaceable,2015.0,61.0,Drama
19,"Dec 31, 2014",Light from the Darkroom,600000,0,0,0.0,low,Light from the Darkroom (2014),tt3130704,Light from the Darkroom,Light from the Darkroom,2014.0,90.0,"Action,Drama,Thriller"
78,"Mar 10, 2015",Subconscious,500000,0,0,0.0,low,Subconscious (2015),tt2909932,Subconscious,Subconscious,2015.0,122.0,"Action,Mystery,Thriller"
67,"Dec 31, 2010",Death Calls,290000,0,0,0.0,low,Death Calls (2010),tt1328873,Death Calls,Death Calls,2010.0,90.0,"Action,Adventure,Mystery"
65,"Dec 31, 2015",AWOL-72,3000000,0,0,0.0,low,AWOL-72 (2015),tt2048865,AWOL-72,AWOL-72,2015.0,82.0,"Action,Thriller"
32,"Dec 31, 2013",Independence Daysaster,1800000,0,0,0.0,low,Independence Daysaster (2013),tt2645670,Independence Daysaster,Independence Daysaster,2013.0,90.0,"Action,Adventure,Sci-Fi"
52,"Dec 11, 2015",The Ridiculous 6,60000000,0,0,0.0,low,The Ridiculous 6 (2015),tt2479478,The Ridiculous 6,The Ridiculous 6,2015.0,119.0,"Comedy,Western"
63,"Mar 10, 2015",Teeth and Blood,300000,0,0,0.0,low,Teeth and Blood (2015),tt1991199,Teeth and Blood,Teeth and Blood,2015.0,96.0,"Action,Horror"
86,"Jun 23, 2015",Crossroads,500000,0,0,0.0,low,Crossroads (2015),tt1848834,Crossroads,Crossroads,2015.0,87.0,"Action,Crime,Drama"
74,"Dec 11, 2015",Close Range,3000000,0,0,0.0,low,Close Range (2015),tt3511596,Close Range,Close Range,2015.0,80.0,"Action,Crime"
73,"Dec 31, 2015",Unnatural,3000000,0,0,0.0,low,Unnatural (2015),tt3551400,Unnatural,Unnatural,2015.0,89.0,"Action,Horror,Sci-Fi"
47,"May 6, 2016",Code of Honor,8000000,0,0,0.0,low,Code of Honor (2016),tt4060866,Code of Honor,Code of Honor,2016.0,106.0,"Action,Crime,Thriller"
